Date,Open,High,Low,Close,Volume
2025-04-11,3620.45,3704.1,3620.45,3666,436704
2025-04-09,3590,3678.75,3538,3610.9,584571
2025-04-08,3600,3622.9,3510.25,3574.15,450859
2025-04-07,3478.95,3545,3344,3526.9,605866
2025-04-04,3744.95,3744.95,3632.55,3659.2,330498
2025-04-03,3780,3807.1,3735.65,3753.35,339509
2025-04-02,3770,3789.8,3732.9,3783.95,321687
2025-04-01,3707.35,3816.6,3707.35,3762.05,506307
2025-03-28,3779,3808.75,3707.35,3722.95,509889
2025-03-27,3634,3789,3610.35,3772.05,1525094
2025-03-26,3650,3669.3,3605.4,3645.95,755658
2025-03-25,3652.5,3675.7,3615,3627.95,544164
2025-03-24,3658,3687.35,3582.85,3626.35,663262
2025-03-21,3629,3711.9,3611.75,3629,1195882
2025-03-20,3579,3634,3561.25,3597.15,771668
2025-03-19,3585,3588.85,3514.15,3537,674188
2025-03-18,3500,3571.7,3500,3564.65,533589
2025-03-17,3486,3549,3461.6,3493.1,673556
2025-03-13,3625,3625.55,3524.35,3529.15,359751
2025-03-12,3650.65,3669.45,3597,3610.25,385877
2025-03-11,3579,3663.5,3552.75,3650.65,618870
2025-03-10,3653,3665.75,3575.7,3582.85,675889
2025-03-07,3664,3733.7,3625,3652.5,621576
2025-03-06,3629.5,3658,3582.7,3648.75,654829
2025-03-05,3515,3609.6,3513.5,3588.75,611959
2025-03-04,3625,3639.9,3495,3514.85,946922
2025-03-03,3644.05,3715,3617,3630.75,691809
2025-02-28,3745.6,3746.95,3662.15,3681.1,995134
2025-02-27,3808.15,3810.3,3725.25,3759.55,877741
2025-02-25,3877,3883.3,3817.1,3828.25,661184
2025-02-24,3839.85,3891.1,3800.1,3884.85,272543
2025-02-21,3900,3916.85,3828.65,3852.6,426337
2025-02-20,3864.5,3938,3855.5,3909.1,438563
2025-02-19,3840.9,3898.9,3815,3879.15,453662
2025-02-18,3880,3891.9,3810,3840.5,482022
2025-02-17,3845.05,3886.15,3757.65,3876.45,913565
2025-02-14,3960.05,3981.1,3850,3862.4,475952
2025-02-13,4005,4025.1,3945.1,3956.55,557075
2025-02-12,4007,4066.6,3955.05,4015.75,619474
2025-02-11,4200,4239,4071,4085.55,593081
2025-02-10,4306.3,4320.95,4170.1,4196.45,779450
2025-02-07,4319.95,4319.95,4215.6,4274.65,1344288
2025-02-06,4289,4334.65,4216.9,4230.05,576470
2025-02-05,4238,4290,4212.6,4270.4,408928
2025-02-04,4324,4350,4220,4237.1,554233
2025-02-03,4420,4430,4228.2,4286.65,846135
2025-02-01,4330,4522.95,4236.05,4402.15,1141242
2025-01-31,4188,4372.8,4176,4339.15,1056018
2025-01-30,4079.2,4187,4060.05,4177.8,807120
2025-01-29,4036,4114.8,4033.05,4072.45,479893
2025-01-28,4020,4062.3,4000,4026.35,444089
2025-01-27,4045,4074.8,4000,4015.95,328160
2025-01-24,4105.05,4125,4041.1,4051.9,216273
2025-01-23,4055.7,4115,4025,4100.35,282745
2025-01-22,4027,4072,4027,4055.7,272889
2025-01-21,4092.9,4119,4010,4024.8,287082
2025-01-20,4117.5,4117.5,4045.55,4092.1,254936
2025-01-17,4076,4125,4050,4098,211342
2025-01-16,4170,4175,4057.95,4074.1,349664
2025-01-15,4123.2,4157.2,4083.15,4111.9,281045
2025-01-14,4067,4134.25,4057.75,4102.65,242769
2025-01-13,4100,4121.95,3997.5,4043.65,801718
2025-01-10,4145,4164,4086.4,4122.2,355269
2025-01-09,4149.35,4164.4,4112.35,4141.25,340998
2025-01-08,4197,4197,4100,4138.1,438731
2025-01-07,4200.1,4224.85,4155.3,4162.05,396158
2025-01-06,4259,4300,4187.75,4202.8,813031
2025-01-03,4265.45,4299.8,4162.45,4243.1,1269643
2025-01-02,4185,4322.15,4146,4311.5,1062633
2025-01-01,4174.8,4197,4130,4184.35,329310
2024-12-31,4162.4,4217.45,4150,4160.6,492605
2024-12-30,4252.75,4274,4168.25,4187.6,1819173
2024-12-27,4280.5,4348.65,4228.55,4237.95,744900
2024-12-26,4270,4307.85,4255.6,4275,375676
2024-12-24,4272.6,4315,4250,4259.1,561434
2024-12-23,4365,4375.5,4258.35,4272.6,931177
2024-12-20,4406.95,4461.55,4325,4339.95,800108
2024-12-19,4329.55,4458.1,4325,4406.95,691740
2024-12-18,4398.45,4429.9,4372.2,4389.45,738092
2024-12-17,4513.3,4558.55,4395.6,4415.1,778939
2024-12-16,4590,4590,4515.7,4539,835965
2024-12-13,4556.75,4583,4500,4575.45,552194
2024-12-12,4650.45,4660.15,4542,4556.75,821540
2024-12-11,4586.25,4654.35,4586.25,4650.45,571443
2024-12-10,4600,4614.95,4561.7,4588.3,384707
2024-12-09,4638.95,4659.6,4590,4595.95,329145
2024-12-06,4656.95,4720,4615,4629.6,733835
2024-12-05,4656,4678.05,4588.4,4644.35,796988
2024-12-04,4705.05,4725,4615.5,4635.85,586762
2024-12-03,4750,4784,4690,4697,664696
2024-12-02,4733.5,4779,4694.6,4748.45,510429
2024-11-29,4798.8,4804.45,4732.1,4761.7,462448
2024-11-28,4894,4909.95,4760.1,4783.5,778790
2024-11-27,4842,4893.4,4810.6,4871.25,296689
2024-11-26,4860,4881.25,4801.05,4838.7,384827
2024-11-25,4850,4908.65,4815,4858.3,1174601
2024-11-22,4778.4,4808.4,4742,4794.1,394712
2024-11-21,4799.95,4820,4741.2,4767.85,572418
2024-11-19,4759.95,4853.95,4734.5,4775.8,704072
2024-11-18,4834.15,4839.95,4714.1,4733,1783519
2024-11-14,4519.6,4630,4467,4604,889483
2024-11-13,4691.65,4696.75,4492,4519.6,1304908
2024-11-12,4757.5,4796.2,4702.8,4724.2,310558
2024-11-11,4763,4786.15,4717.55,4757.5,424955
2024-11-08,4830,4832,4735.95,4768.9,333494
2024-11-07,4916.95,4916.95,4788.05,4816,373373
2024-11-06,4858,4920,4841,4892.8,602657
2024-11-05,4818,4878.3,4760.9,4820.7,673746
2024-11-04,5127.5,5127.5,4726.5,4806.05,1676556
2024-11-01,5039.7,5043,5010.15,5020.5,49631
2024-10-31,4937,5027.5,4919.95,4989.55,897452
2024-10-30,4745,5037.5,4740.1,4909.3,1039340
2024-10-29,4927.85,4959.95,4745,4787.45,953917
2024-10-28,4973.3,5015.85,4896.05,4927.8,419927
2024-10-25,5120,5144.7,4875,4973.3,709797
2024-10-24,5160.05,5231.2,5093.6,5113.6,349453
2024-10-23,5175.8,5280,5120.55,5145.7,411524
2024-10-22,5263,5274.4,5155,5175.8,531833
2024-10-21,5216.2,5253.85,5085.05,5242.25,740720
2024-10-18,5217.45,5288.65,5146.05,5216.2,427617
2024-10-17,5363.05,5363.05,5100,5217.45,1947589
2024-10-16,5505.65,5519,5387,5398.2,504211
2024-10-15,5565,5587.65,5464,5505.65,302887
